doc_id,text,response_type,sex,age_cohorts,political_id3,close_nkmigrants
nkmigrants_interviews_4424,둘중에서는 그나마 낫다,vote,Male,40-49,Progressive,Very close
nkmigrants_interviews_4425,체류기간이 길고 자녀가 있음,hire,Male,60+,Centrist,Somewhat distant
nkmigrants_interviews_4426,한국 체류기간이 길어 신뢰하고 일을 맡길 수 있을 것 같다,neighbor,Male,60+,Centrist,Somewhat distant
nkmigrants_interviews_4427,직업,vote,Male,60+,Centrist,Somewhat distant
nkmigrants_interviews_4428,한국 체류기간이 길어 남한 정서에 대해 잘 알 것 같다,hire,Female,18-29,Conservative,Somewhat distant
nkmigrants_interviews_4429,중국 체류 기간,neighbor,Female,18-29,Conservative,Somewhat distant
nkmigrants_interviews_4430,중국 체류기간이 짧고 젊은 인력이라 선호할 것 같다,vote,Female,18-29,Conservative,Somewhat distant
nkmigrants_interviews_4431,직업,hire,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4432,찬성,neighbor,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4433,한국 체류기간,vote,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4434,찬성,hire,Female,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4435,인맥이 넓어서,neighbor,Female,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4436,찬성,vote,Female,40-49,Conservative,Neither close nor distant
nkmigrants_interviews_4437,한국 체류기간이 길어서,hire,Female,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_4438,"노동당 직원도 아니었으며 직업도 의사, 미혼에 북한 이탈 기간도 김",neighbor,Female,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_4439,직업에 흥미,vote,Female,18-29,Conservative,Neither close nor distant
nkmigrants_interviews_4440,"노동당 직원도 아니며 여성, 결혼과 북한 이탈 체류기간도 길고 나이도 적당함 또한 직업도 안정적임",hire,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4441,종교,neighbor,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4442,한구 체류기간도 길고 직업도 의사이며 성별이 여성이라 별로 무서운 느낌은 없음,vote,Male,18-29,Centrist,Somewhat distant
nkmigrants_interviews_4443,종교,hire,Female,18-29,Progressive,Somewhat close
nkmigrants_interviews_4444,그냥,neighbor,Female,18-29,Progressive,Somewhat close
nkmigrants_interviews_4445,혼인,vote,Female,18-29,Progressive,Somewhat close
nkmigrants_interviews_4446,욕심이덜하려나,hire,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4447,사업체 운영자로는 의사보다는 프로그램어가 낫다 생각됨. 기타 조건은 비슷하다 생각됨.,neighbor,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4448,기타,vote,Female,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4449,사회 경력으로 볼때 투표나 사업체 운용자로서 A를 선택했지만 이웃으로서는 양쪽 다 상관없다,hire,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4450,남성,neighbor,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4451,프로필 b선택함.,vote,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4452,전문직,hire,Male,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4453,나이가 어려서,neighbor,Male,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4454,전문직,vote,Male,60+,Conservative,Neither close nor distant
nkmigrants_interviews_4455,한국인동료만있어서,hire,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4456,취업중이고 미성년이 아님,neighbor,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4457,한국내체루기간이 길어서,vote,Male,18-29,Centrist,Neither close nor distant
nkmigrants_interviews_4458,노동당 당원이 아님,hire,Female,60+,Centrist,Neither close nor distant
nkmigrants_interviews_4459,그냥,neighbor,Female,60+,Centrist,Neither close nor distant
nkmigrants_interviews_4460,노동당 당원이 아님,vote,Female,60+,Centrist,Neither close nor distant
nkmigrants_interviews_4461,좋아보여요,hire,Female,60+,Conservative,Somewhat distant
nkmigrants_interviews_4462,한국에 더 오래 체류해있어 한국정서를 잘 알것 같다,neighbor,Female,60+,Conservative,Somewhat distant
nkmigrants_interviews_4463,그냉,vote,Female,60+,Conservative,Somewhat distant
nkmigrants_interviews_4464,자녀가 있어 부녀자들에게 공감을 할 것 같다,hire,Female,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4465,한국에서 체류 기간이 B보다 길어서,neighbor,Female,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4466,체류기간이 길어 더 친해질 것 같다,vote,Female,18-29,Progressive,Neither close nor distant
nkmigrants_interviews_4467,체류기간이 길어서,hire,Female,40-49,Progressive,Somewhat distant
nkmigrants_interviews_4468,발전가능성,neighbor,Female,40-49,Progressive,Somewhat distant
nkmigrants_interviews_4469,직업도 의사이고 체류기간도 7년이고 결혼해서 안정적인것 같아 보여서,vote,Female,40-49,Progressive,Somewhat distant
nkmigrants_interviews_4470,안정적임,hire,Female,40-49,Conservative,Neither close nor distant
